Tahun,Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking
2019,probolinggo - tegalsiwalan,5,18,2033,3020,0,5802,800,134,1348,4757,6237,377
2019,probolinggo - sumberasih,4,31,2086,3718,0,6999,1200,133,1622,4881,5712,501
2019,probolinggo - wonomerto,5,22,2227,1655,53,3437,1200,126,1136,5211,6649,229
2019,probolinggo - tongas,5,22,2160,4947,85,4981,1700,134,750,5055,6479,302
2019,probolinggo - lumbang,5,18,2208,3251,47,3944,600,125,1442,5167,6255,372
2019,pasuruan - purwodadi,5,31,1171,1281,2,5613,300,89,726,4135,6948,133
2019,pasuruan - tutur,4,57,1290,1837,14,6500,200,92,1345,4554,5839,472
2019,pasuruan - puspo,5,36,1290,4372,2,2561,1100,90,1324,4554,6931,140
2019,pasuruan - lumbang,6,17,1285,0,4,2636,500,84,1208,4534,7526,23
2019,pasuruan - pasrepan,5,31,1290,2291,19,2762,1700,85,1648,4554,7214,66
2019,pasuruan - kejayan,6,6,1159,2094,3,1378,300,85,1624,4091,7698,11
2019,pasuruan - wonorejo,6,14,1155,3222,590,1460,1500,85,1664,4078,7600,17
2019,pasuruan - purwosari,6,29,1053,1699,13,1792,900,83,1667,3718,7469,32
2019,pasuruan - sukorejo,5,27,1251,3516,1,573,600,81,1977,4414,7145,83
2019,pasuruan - prigen,6,47,954,826,20,1877,600,87,1056,3366,7397,41
2019,pasuruan - pandaan,5,52,954,3974,0,2585,1200,86,1236,3366,7068,96
2019,pasuruan - gempol,5,67,982,2382,0,752,600,85,937,3467,7075,93
2019,pasuruan - beji,5,46,954,3190,0,1054,600,87,1422,3366,7243,58
2019,pasuruan - bangil,5,86,954,2605,0,1669,689,78,1838,3366,6273,367
2019,pasuruan - rembang,5,24,1127,3778,12,4519,400,82,1197,3980,6969,121
2019,pasuruan - kraton,5,44,1283,3134,28,3508,689,84,1703,4530,6480,301
2019,pasuruan - pohjentrek,5,51,954,4196,0,3864,1200,85,2627,3366,6341,347
2019,pasuruan - gondangwetan,5,35,1176,2119,3,7812,600,89,1529,4153,6244,374
2019,pasuruan - winongan,5,27,1260,3132,115,4276,900,80,1233,4449,6964,127
2019,pasuruan - grati,5,32,1228,4261,60,1974,1000,84,1418,4335,7108,86
2019,pasuruan - nguling,5,29,1272,2737,229,3342,600,80,1495,4490,6862,163
2019,pasuruan - lekok,5,83,1166,4971,0,678,612,80,1361,4118,6230,379
2019,pasuruan - rejoso,5,33,1274,1340,0,6633,600,88,1382,4499,6466,305
